hs_no,group,mnemonic_hs,mnemonic_old,description_hs,tcode_hs,lag_months_hs,vintage_flag_hs,construction_type,target_series_id,component_series_ids,raw_formula,pub_lag_mode,pub_lag_months,pub_lag_schedule_json,release_rule,revision_class,strict_source_rule,balanced_source_rule,notes
1,0,RPI,RPI,RPI,5,0,Y,direct_alfred,RPI,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
2,0,W875RX1,W875RX1,W875RX1,5,0,Y,direct_alfred,W875RX1,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
3,0,DPCERA3M086SBEA,DPCERA3M086SBEA,DPCERA3M086SBEA,5,0,Y,direct_alfred,DPCERA3M086SBEA,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
4,0,CMRMTSPLx,CMRMTSPLx,CMRMTSPLx,5,0,Y,direct_alfred,CMRMTSPL,[],,fixed,3,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
5,0,RETAILx,RETAILx,RETAILx,5,0,Y,direct_alfred,RETAIL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
6,0,INDPRO,INDPRO,INDPRO,5,0,Y,direct_alfred,INDPRO,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
7,0,IPFPNSS,IPFPNSS,IPFPNSS,5,0,Y,direct_alfred,IPFPNSS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
8,0,IPFINAL,IPFINAL,IPFINAL,5,0,Y,direct_alfred,IPFINAL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
9,0,IPCONGD,IPCONGD,IPCONGD,5,0,Y,direct_alfred,IPCONGD,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
10,0,IPDCONGD,IPDCONGD,IPDCONGD,5,0,Y,direct_alfred,IPDCONGD,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
11,0,IPNCONGD,IPNCONGD,IPNCONGD,5,0,Y,direct_alfred,IPNCONGD,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
12,0,IPBUSEQ,IPBUSEQ,IPBUSEQ,5,0,Y,direct_alfred,IPBUSEQ,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
13,0,IPMAT,IPMAT,IPMAT,5,0,Y,direct_alfred,IPMAT,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
14,0,IPDMAT,IPDMAT,IPDMAT,5,0,Y,direct_alfred,IPDMAT,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
15,0,IPNMAT,IPNMAT,IPNMAT,5,0,Y,direct_alfred,IPNMAT,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
16,0,IPMANSICS,IPMANSICS,IPMANSICS,5,0,Y,direct_alfred,IPMANSICS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
17,0,IPB51222S,IPB51222S,IPB51222S,5,0,Y,direct_alfred,IPB51222S,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
18,0,IPFUELS,IPFUELS,IPFUELS,5,0,Y,direct_alfred,IPFUELS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
19,0,CUMFNS,CUMFNS,CUMFNS,2,0,Y,direct_alfred,CUMFNS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
20,0,HWI,HWI,HWI,2,0,Y,direct_alfred,JTSJOL,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
21,0,HWIURATIO,HWIURATIO,HWIURATIO,2,0,N,derived_formula,,"[""JTSJOL"",""UNEMPLOY""]",JTSJOL / UNEMPLOY,fixed,2,,same_month_end,component_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Formula mapping from series.md
22,0,CLF16OV,CLF16OV,CLF16OV,5,0,Y,direct_alfred,CLF16OV,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
23,0,CE16OV,CE16OV,CE16OV,5,0,Y,direct_alfred,CE16OV,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
24,0,UNRATE,UNRATE,UNRATE,2,0,Y,direct_alfred,UNRATE,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
25,0,UEMPMEAN,UEMPMEAN,UEMPMEAN,2,0,Y,direct_alfred,UEMPMEAN,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
26,0,UEMPLT5,UEMPLT5,UEMPLT5,5,0,Y,direct_alfred,UEMPLT5,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
27,0,UEMP5TO14,UEMP5TO14,UEMP5TO14,5,0,Y,direct_alfred,UEMP5TO14,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
28,0,UEMP15OV,UEMP15OV,UEMP15OV,5,0,Y,direct_alfred,UEMP15OV,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
29,0,UEMP15T26,UEMP15T26,UEMP15T26,5,0,Y,direct_alfred,UEMP15T26,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
30,0,UEMP27OV,UEMP27OV,UEMP27OV,5,0,Y,direct_alfred,UEMP27OV,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
31,0,CLAIMSx,CLAIMSx,CLAIMSx,5,0,N,direct_fred,ICSA,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Direct FRED mapping from series.md
32,0,PAYEMS,PAYEMS,PAYEMS,5,0,Y,direct_alfred,PAYEMS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
33,0,USGOOD,USGOOD,USGOOD,5,0,Y,direct_alfred,USGOOD,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
34,0,CES1021000001,CES1021000001,CES1021000001,5,0,Y,direct_alfred,CES1021000001,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
35,0,USCONS,USCONS,USCONS,5,0,Y,direct_alfred,USCONS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
36,0,MANEMP,MANEMP,MANEMP,5,0,Y,direct_alfred,MANEMP,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
37,0,DMANEMP,DMANEMP,DMANEMP,5,0,Y,direct_alfred,DMANEMP,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
38,0,NDMANEMP,NDMANEMP,NDMANEMP,5,0,Y,direct_alfred,NDMANEMP,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
39,0,SRVPRD,SRVPRD,SRVPRD,5,0,Y,direct_alfred,SRVPRD,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
40,0,USTPU,USTPU,USTPU,5,0,Y,direct_alfred,USTPU,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
41,0,USWTRADE,USWTRADE,USWTRADE,5,0,Y,direct_alfred,USWTRADE,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
42,0,USTRADE,USTRADE,USTRADE,5,0,Y,direct_alfred,USTRADE,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
43,0,USFIRE,USFIRE,USFIRE,5,0,Y,direct_alfred,USFIRE,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
44,0,USGOVT,USGOVT,USGOVT,5,0,Y,direct_alfred,USGOVT,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
45,0,CES0600000007,CES0600000007,CES0600000007,1,0,Y,direct_alfred,CES0600000007,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
46,0,AWOTMAN,AWOTMAN,AWOTMAN,2,0,Y,direct_alfred,AWOTMAN,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
47,0,AWHMAN,AWHMAN,AWHMAN,1,0,Y,direct_alfred,AWHMAN,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
48,0,HOUST,HOUST,HOUST,4,0,Y,direct_alfred,HOUST,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
49,0,HOUSTNE,HOUSTNE,HOUSTNE,4,0,Y,direct_alfred,HOUSTNE,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
50,0,HOUSTMW,HOUSTMW,HOUSTMW,4,0,Y,direct_alfred,HOUSTMW,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
51,0,HOUSTS,HOUSTS,HOUSTS,4,0,Y,direct_alfred,HOUSTS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
52,0,HOUSTW,HOUSTW,HOUSTW,4,0,Y,direct_alfred,HOUSTW,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
53,0,PERMIT,PERMIT,PERMIT,4,0,Y,direct_alfred,PERMIT,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
54,0,PERMITNE,PERMITNE,PERMITNE,4,0,Y,direct_alfred,PERMITNE,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
55,0,PERMITMW,PERMITMW,PERMITMW,4,0,Y,direct_alfred,PERMITMW,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
56,0,PERMITS,PERMITS,PERMITS,4,0,Y,direct_alfred,PERMITS,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
57,0,PERMITW,PERMITW,PERMITW,4,0,Y,direct_alfred,PERMITW,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
58,0,ACOGNO,ACOGNO,ACOGNO,5,0,Y,direct_alfred,ACOGNO,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
59,0,AMDMNOx,AMDMNOx,AMDMNOx,5,0,Y,direct_alfred,DGORDER,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
60,0,ANDENOx,ANDENOx,ANDENOx,5,0,Y,direct_alfred,ANDENO,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
61,0,AMDMUOx,AMDMUOx,AMDMUOx,5,0,Y,direct_alfred,AMDMUO,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
62,0,BUSINVx,BUSINVx,BUSINVx,5,0,Y,direct_alfred,BUSINV,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
63,0,ISRATIOx,ISRATIOx,ISRATIOx,2,0,Y,direct_alfred,ISRATIO,[],,fixed,2,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Alias mapping from series.md
64,0,M1SL,M1SL,M1SL,6,0,Y,direct_alfred,M1SL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
65,0,M2SL,M2SL,M2SL,6,0,Y,direct_alfred,M2SL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
66,0,M2REAL,M2REAL,M2REAL,5,0,Y,direct_alfred,M2REAL,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
67,0,BOGMBASE,BOGMBASE,BOGMBASE,6,0,Y,direct_alfred,BOGMBASE,[],,fixed,1,,same_month_end,observable_revisions,selected_vintage_asof_decision,strict_asof_then_release_gap_then_pre_vintage_then_proxy,Default direct ALFRED mapping.
