series_id,obs_with_revisions,max_revisions_per_obs
AAA,6,2
AAAFFM,4,2
ACOGNO,408,16
AMDMUO,409,20
ANDENO,408,20
AWHMAN,775,10
AWOTMAN,716,12
BAA,4,3
BAAFFM,4,2
BOGMBASE,802,7
BUSINV,541,47
BUSLOANS,829,141
CE16OV,827,12
CES0600000007,367,8
CES0600000008,445,11
CES1021000001,430,10
CES2000000008,362,8
CES3000000008,387,11
CLF16OV,826,12
CMRMTSPL,708,11
CP3M,0,1
CPFFM,5,2
CPIAPPSL,239,6
CPIAUCSL,658,7
CPIMEDSL,245,7
CPITRNSL,251,6
CPIULFSL,411,7
CUMFNS,697,16
CUSR0000SA0L2,227,7
CUSR0000SA0L5,227,6
CUSR0000SAC,227,7
CUSR0000SAD,227,6
CUSR0000SAS,227,7
DDURRG3M086SBEA,805,12
DGORDER,816,24
DMANEMP,829,15
DNDGRG3M086SBEA,805,12
DPCERA3M086SBEA,805,13
DSERRG3M086SBEA,805,13
DTCOLNVHFNM,144,10
DTCTHFNM,212,11
EXCAUS,90,5
EXJPUS,542,5
EXSZUS,89,5
EXUSUK,89,5
FEDFUNDS,18,4
GS1,1,2
GS10,0,1
GS5,1,2
HOUST,804,9
HOUSTMW,658,8
HOUSTNE,658,8
HOUSTS,660,9
HOUSTW,660,9
ICSA,1081,10
INDPRO,829,38
INVEST,829,138
IPB51222S,829,16
IPBUSEQ,829,23
IPCONGD,829,23
IPDCONGD,829,23
IPDMAT,829,23
IPFINAL,829,23
IPFPNSS,829,16
IPFUELS,829,16
IPMANSICS,829,16
IPMAT,829,23
IPNCONGD,829,23
IPNMAT,829,23
ISRATIO,819,18
JTSJOL,302,11
M1SL,805,40
M2REAL,525,38
M2SL,805,88
MANEMP,829,16
NDMANEMP,829,15
NONBORRES,792,6
NONREVSL,829,41
OILPRICE,52,2
PAYEMS,829,24
PCEPI,805,18
PERMIT,335,10
PERMITMW,212,10
PERMITNE,211,10
PERMITS,213,10
PERMITW,211,10
PI,829,22
PPICMM,146,4
REALLN,829,141
RETAIL,507,14
RPI,805,15
SP500,0,1
SRVPRD,829,23
T10YFFM,1,2
T1YFFM,1,2
T5YFFM,1,2
TB3MS,2,2
TB3SMFFM,3,2
TB6MS,3,2
TB6SMFFM,4,2
TOTRESNS,751,16
TWEXAFEGSMTH,632,8
UEMP15OV,825,9
UEMP15T26,571,7
UEMP27OV,803,8
UEMP5TO14,824,9
UEMPLT5,826,8
UEMPMEAN,668,6
UMCSENT,91,3
UNEMPLOY,827,11
UNRATE,620,6
USCONS,829,13
USFIRE,829,15
USGOOD,829,16
USGOVT,829,13
USTPU,829,17
USTRADE,829,18
USWTRADE,829,14
VIXCLS,0,1
W875RX1,805,14
WPSFD49207,178,10
WPSFD49502,178,10
WPSID61,177,10
WPSID62,175,10
