maturity,model,gap,r2,pval
120,XGB (Fwd),0,0.4297415205259266,5.826047089207975e-09
120,XGB (Macro+Fwd),0,0.5452695428029002,1.0823486551458927e-09
120,RW,0,0.8424368850259275,7.710609928324175e-12
120,XGB (Fwd),1,0.24263931328155885,6.885553490709739e-07
120,XGB (Macro+Fwd),1,0.4336898107078667,2.3132752158261383e-08
120,RW,1,0.661097942944015,2.45718001501416e-10
120,XGB (Fwd),3,0.030734493140268326,0.0003614565646202772
120,XGB (Macro+Fwd),3,0.24669552657371607,1.328674547051989e-06
120,RW,3,0.34544276726308887,1.2012956740470315e-08
120,XGB (Fwd),5,-0.14208359696394135,0.02490461785035991
120,XGB (Macro+Fwd),5,0.17049955516938198,2.754974889085382e-05
120,RW,5,0.043495257072690086,1.6020797203308845e-06
120,XGB (Fwd),11,-0.523689758922899,0.7968930992603737
120,XGB (Macro+Fwd),11,-0.1372731009950121,0.05023861289756393
120,RW,11,-0.8685368884448736,0.3614466255137432
